Data;Vendas_Semana;Feriado_Semana;Temperatura_F;Temperatura_C;Preco_Gasolina;Inflação;Desemprego;
12/02/2010;1266229,07;1;44,58;6,99;2,548;0,21%;8,55%;
12/02/2010;955338,29;1;20,84;-6,2;2,771;0,13%;5,89%;
12/02/2010;1075656,34;1;23,04;-4,98;2,572;0,19%;7,54%;
12/02/2010;575709,96;1;49,96;9,98;2,828;0,13%;9,77%;
12/02/2010;682918,99;1;47,99;8,88;2,548;0,20%;9,52%;
12/02/2010;286857,13;1;33,16;0,64;2,671;0,13%;8,12%;
12/02/2010;656988,64;1;27,73;-2,37;2,773;0,18%;8,99%;
19/02/2010;1611968,17;0;39,93;4,41;2,514;0,21%;8,11%;
19/02/2010;2124451,54;0;39,69;4,27;2,514;0,21%;8,32%;
19/02/2010;421642,19;0;47,07;8,37;2,514;0,21%;7,37%;
19/02/2010;2049860,26;0;36,45;2,47;2,54;0,13%;8,62%;
19/02/2010;303447,57;0;41,14;5,08;2,514;0,21%;6,57%;
19/02/2010;1567138,07;0;43,58;6,43;2,514;0,21%;7,26%;
19/02/2010;506760,54;0;27,28;-2,62;2,55;0,19%;9,01%;
19/02/2010;963960,37;0;39,1;3,94;2,514;0,21%;6,30%;
19/02/2010;511327,9;0;43,06;6,14;2,514;0,21%;6,42%;
19/02/2010;2113432,58;0;58,22;14,57;2,915;0,13%;9,77%;
19/02/2010;1503298,7;0;48,3;9,06;2,514;0,21%;7,37%;
19/02/2010;1095421,65;0;54,83;12,68;2,915;0,13%;13,98%;
19/02/2010;1970274,64;0;35,7;2,06;2,654;0,13%;8,32%;
19/02/2010;2204556,7;0;31,27;-0,41;2,745;0,18%;8,99%;
19/02/2010;660838,75;0;27,54;-2,48;2,909;0,13%;8,35%;
19/02/2010;469868,7;0;21,13;-6,04;2,55;0,19%;7,04%;
19/02/2010;800714;0;25,06;-3,86;2,654;0,13%;6,55%;
19/02/2010;1150663,42;0;30,91;-0,61;2,747;0,13%;9,20%;
19/02/2010;1515976,11;0;28,57;-1,91;2,909;0,13%;8,35%;
19/02/2010;2161549,76;0;25,43;-3,65;2,745;0,20%;8,19%;
19/02/2010;867283,25;0;39,75;4,31;2,514;0,21%;8,32%;
19/02/2010;988467,61;0;31,96;-0,02;2,747;0,14%;8,28%;
19/02/2010;1319588,04;0;26,7;-2,94;2,747;0,13%;5,89%;
19/02/2010;1385362,49;0;31,05;-0,53;2,909;0,13%;8,33%;
19/02/2010;676260,67;0;24,16;-4,36;2,745;0,20%;8,19%;
19/02/2010;999348,55;0;22,62;-5,21;2,747;0,13%;8,49%;
19/02/2010;1945070,33;0;32,44;0,24;2,909;0,14%;8,24%;
19/02/2010;1491300,42;0;54,83;12,68;2,915;0,13%;13,98%;
19/02/2010;542399,07;0;31,96;-0,02;2,747;0,13%;10,06%;
19/02/2010;463513,26;0;39,75;4,31;2,514;0,21%;8,32%;
19/02/2010;1473386,75;0;39,75;4,31;2,514;0,21%;8,32%;
19/02/2010;1082559,06;0;29,16;-1,58;2,55;0,19%;9,01%;
19/02/2010;296850,83;0;62,16;16,76;2,915;0,13%;10,12%;
19/02/2010;983963,07;0;38,36;3,53;2,54;0,13%;9,52%;
19/02/2010;1270658,64;0;32,44;0,24;2,745;0,14%;9,26%;
19/02/2010;470281,03;0;45,66;7,59;2,472;0,21%;8,55%;
19/02/2010;510382,5;0;45,66;7,59;2,514;0,21%;8,55%;
19/02/2010;327237,92;0;54,83;12,68;2,915;0,13%;13,98%;
19/02/2010;1230591,97;0;43,96;6,64;2,514;0,21%;8,55%;
19/02/2010;916289,2;0;27,84;-2,31;2,747;0,13%;5,89%;
19/02/2010;1052034,74;0;24,13;-4,37;2,55;0,19%;7,54%;
19/02/2010;508794,87;0;58,22;14,57;2,915;0,13%;9,77%;
19/02/2010;658997,55;0;48,77;9,32;2,514;0,20%;9,52%;
19/02/2010;267956,3;0;35,7;2,06;2,654;0,13%;8,12%;
19/02/2010;841264,04;0;31,27;-0,41;2,745;0,18%;8,99%;
26/02/2010;1409727,59;0;46,63;8,13;2,561;0,21%;8,11%;
26/02/2010;1865097,27;0;46,1;7,83;2,561;0,21%;8,32%;
26/02/2010;407204,86;0;52,05;11,14;2,561;0,21%;7,37%;
26/02/2010;1925728,84;0;41,36;5,2;2,59;0,13%;8,62%;
26/02/2010;270281,63;0;46,7;8,17;2,561;0,21%;6,57%;
26/02/2010;1432953,21;0;47,1;8,39;2,561;0,21%;7,26%;
26/02/2010;496083,24;0;24,91;-3,94;2,586;0,19%;9,01%;
26/02/2010;847592,11;0;37,91;3,28;2,561;0,21%;6,30%;
26/02/2010;473773,27;0;43,83;6,57;2,561;0,21%;6,42%;
26/02/2010;2006774,96;0;52,77;11,54;2,825;0,13%;9,77%;
26/02/2010;1336404,65;0;52,79;11,55;2,561;0,21%;7,37%;
26/02/2010;1048617,17;0;50,23;10,13;2,825;0,13%;13,98%;
26/02/2010;1817850,32;0;29,98;-1,12;2,667;0,13%;8,32%;
26/02/2010;2095591,63;0;34,89;1,61;2,754;0,18%;8,99%;
26/02/2010;564883,2;0;29,87;-1,18;2,91;0,13%;8,35%;
26/02/2010;443242,17;0;18,12;-7,71;2,586;0,19%;7,04%;
26/02/2010;749549,55;0;15,64;-9,09;2,667;0,13%;6,55%;
26/02/2010;1068157,45;0;35,42;1,9;2,753;0,13%;9,20%;
26/02/2010;1373270,06;0;30,33;-0,93;2,91;0,13%;8,35%;
26/02/2010;1898193,95;0;32,32;0,18;2,754;0,20%;8,19%;
26/02/2010;749597,24;0;45,31;7,39;2,561;0,21%;8,32%;
26/02/2010;899761,48;0;35,98;2,21;2,753;0,14%;8,28%;
26/02/2010;1198709,65;0;32,68;0,38;2,753;0,13%;5,89%;
26/02/2010;1158722,74;0;33,98;1,1;2,91;0,13%;8,33%;
26/02/2010;628516,57;0;29,16;-1,58;2,754;0,20%;8,19%;
26/02/2010;855385,01;0;27,32;-2,6;2,753;0,13%;8,49%;
26/02/2010;1390934,27;0;36;2,22;2,91;0,14%;8,24%;
26/02/2010;1542173,33;0;50,23;10,13;2,825;0,13%;13,98%;
26/02/2010;488417,61;0;35,98;2,21;2,753;0,13%;10,06%;
26/02/2010;472330,71;0;45,31;7,39;2,561;0,21%;8,32%;
26/02/2010;1344354,41;0;45,31;7,39;2,561;0,21%;8,32%;
26/02/2010;1053247,1;0;26,64;-2,98;2,586;0,19%;9,01%;
26/02/2010;284052,77;0;56,5;13,61;2,825;0,13%;10,12%;
26/02/2010;905756,13;0;37,28;2,93;2,59;0,13%;9,52%;
26/02/2010;1020651,74;0;36;2,22;2,754;0,14%;9,26%;
26/02/2010;447519,44;0;50,87;10,48;2,52;0,21%;8,55%;
26/02/2010;513615,82;0;50,87;10,48;2,561;0,21%;8,55%;
26/02/2010;334222,73;0;50,23;10,13;2,825;0,13%;13,98%;
26/02/2010;1168582,02;0;49,79;9,88;2,561;0,21%;8,55%;
26/02/2010;863917,41;0;33,32;0,73;2,753;0,13%;5,89%;
26/02/2010;991941,73;0;21,84;-5,64;2,586;0,19%;7,54%;
26/02/2010;491510,58;0;52,77;11,54;2,825;0,13%;9,77%;
26/02/2010;618702,79;0;48,77;9,32;2,561;0,20%;9,52%;
26/02/2010;273079,07;0;29,98;-1,12;2,667;0,13%;8,12%;
26/02/2010;741891,65;0;34,89;1,61;2,754;0,18%;8,99%;
05/03/2010;1554806,68;0;46,5;8,06;2,625;0,21%;8,11%;
05/03/2010;1991013,13;0;47,17;8,43;2,625;0,21%;8,32%;
05/03/2010;415202,04;0;53,04;11,69;2,625;0,21%;7,37%;
05/03/2010;1971057,44;0;43,49;6,38;2,654;0,13%;8,62%;
05/03/2010;288855,71;0;48,89;9,38;2,625;0,21%;6,57%;
05/03/2010;1601348,82;0;49,63;9,79;2,625;0,21%;7,26%;
05/03/2010;491419,55;0;35,86;2,14;2,62;0,19%;9,01%;
05/03/2010;881503,95;0;45,64;7,58;2,625;0,21%;6,30%;
05/03/2010;507297,88;0;48,43;9,13;2,625;0,21%;6,42%;
05/03/2010;1987090,09;0;55,92;13,29;2,877;0,13%;9,77%;
05/03/2010;1426622,65;0;53,96;12,2;2,625;0,21%;7,37%;
05/03/2010;1077018,27;0;53,77;12,09;2,987;0,13%;13,98%;
05/03/2010;1939980,43;0;40,65;4,81;2,681;0,13%;8,32%;
05/03/2010;2237544,75;0;37,13;2,85;2,777;0,18%;8,99%;
05/03/2010;605325,43;0;31,79;-0,12;2,919;0,13%;8,35%;
05/03/2010;444181,85;0;27,92;-2,27;2,62;0,19%;7,04%;
05/03/2010;783300,05;0;31,58;-0,23;2,681;0,13%;6,55%;
05/03/2010;1179738,5;0;37,17;2,87;2,766;0,13%;9,20%;
05/03/2010;1495844,57;0;32,92;0,51;2,919;0,13%;8,35%;
05/03/2010;2119213,72;0;31,75;-0,14;2,777;0,20%;8,19%;
05/03/2010;747444,32;0;48,61;9,23;2,625;0,21%;8,32%;
05/03/2010;1009201,24;0;36,82;2,68;2,766;0,14%;8,28%;
05/03/2010;1311175,93;0;33,15;0,64;2,766;0,13%;5,89%;
05/03/2010;1412387,37;0;36,73;2,63;2,919;0,13%;8,33%;
05/03/2010;665750,06;0;29,45;-1,42;2,777;0,20%;8,19%;
05/03/2010;1005669,58;0;28,6;-1,89;2,766;0,13%;8,49%;
05/03/2010;1313729,72;0;38,07;3,37;2,919;0,14%;8,24%;
05/03/2010;1608435,45;0;53,77;12,09;2,987;0,13%;13,98%;
05/03/2010;535087,91;0;36,82;2,68;2,766;0,13%;10,06%;
05/03/2010;472591,07;0;48,61;9,23;2,625;0,21%;8,32%;
05/03/2010;1384870,51;0;48,61;9,23;2,625;0,21%;8,32%;
05/03/2010;1066566,74;0;37,72;3,18;2,62;0,19%;9,01%;
05/03/2010;291484,89;0;59,17;15,09;2,877;0,13%;10,12%;
05/03/2010;918295,79;0;42,65;5,92;2,654;0,13%;9,52%;
05/03/2010;1162610,27;0;38,07;3,37;2,777;0,14%;9,26%;
05/03/2010;480203,43;0;51,33;10,74;2,574;0,21%;8,55%;
05/03/2010;519255,68;0;51,33;10,74;2,625;0,21%;8,55%;
05/03/2010;372239,89;0;53,77;12,09;2,987;0,13%;13,98%;
05/03/2010;1266254,21;0;50,93;10,52;2,625;0,21%;8,55%;
05/03/2010;990152,28;0;34,78;1,54;2,766;0,13%;5,89%;
05/03/2010;1063557,49;0;32,49;0,27;2,62;0,19%;7,54%;
05/03/2010;554972,42;0;55,92;13,29;2,877;0,13%;9,77%;
05/03/2010;658600,05;0;52,89;11,61;2,625;0,20%;9,52%;
05/03/2010;284617,27;0;40,65;4,81;2,681;0,13%;8,12%;
05/03/2010;777951,22;0;37,13;2,85;2,777;0,18%;8,99%;
12/03/2010;1439541,59;0;57,79;14,33;2,667;0,21%;8,11%;
12/03/2010;1990483,78;0;57,56;14,2;2,667;0,21%;8,32%;
12/03/2010;384200,69;0;63,08;17,27;2,667;0,21%;7,37%;
12/03/2010;1894324,09;0;49,63;9,79;2,704;0,13%;8,62%;
12/03/2010;297293,59;0;58,5;14,72;2,667;0,21%;6,57%;
12/03/2010;1558621,36;0;58,82;14,9;2,667;0,21%;7,26%;
12/03/2010;480452,1;0;27,25;-2,64;2,684;0,19%;9,01%;
12/03/2010;860336,16;0;49,76;9,87;2,667;0,21%;6,30%;
12/03/2010;494145,8;0;55,76;13,2;2,667;0,21%;6,42%;
12/03/2010;1941346,13;0;52,33;11,29;3,034;0,13%;9,77%;
12/03/2010;1331883,16;0;64,1;17,83;2,667;0,21%;7,37%;
12/03/2010;985594,23;0;50,11;10,06;2,925;0,13%;13,98%;
12/03/2010;1840686,94;0;37,62;3,12;2,733;0,13%;8,32%;
12/03/2010;2156035,06;0;45,8;7,67;2,818;0,18%;8,99%;
12/03/2010;604173,59;0;41,39;5,22;2,938;0,13%;8,35%;
12/03/2010;445393,74;0;28,64;-1,87;2,684;0,19%;7,04%;
12/03/2010;763961,82;0;29,71;-1,27;2,733;0,13%;6,55%;
12/03/2010;1138800,32;0;42,39;5,77;2,805;0,13%;9,20%;
12/03/2010;1467889,2;0;39,06;3,92;2,938;0,13%;8,35%;
12/03/2010;2010974,84;0;43,82;6,57;2,818;0,20%;8,19%;
12/03/2010;712312,89;0;57,1;13,94;2,667;0,21%;8,32%;
12/03/2010;967187,37;0;43,43;6,35;2,805;0,14%;8,28%;
12/03/2010;1408082,96;0;36,07;2,26;2,805;0,13%;5,89%;
12/03/2010;1309340,16;0;42,31;5,73;2,938;0,13%;8,33%;
12/03/2010;660619,99;0;40,05;4,47;2,818;0,20%;8,19%;
12/03/2010;963382,09;0;31,1;-0,5;2,805;0,13%;8,49%;
12/03/2010;1925113,12;0;45,98;7,77;2,938;0,14%;8,24%;
12/03/2010;1326877,11;0;50,11;10,06;2,925;0,13%;13,98%;
12/03/2010;519042,49;0;43,43;6,35;2,805;0,13%;10,06%;
12/03/2010;468189,93;0;57,1;13,94;2,667;0,21%;8,32%;
12/03/2010;1366193,35;0;57,1;13,94;2,667;0,21%;8,32%;
12/03/2010;1093319,37;0;39,88;4,38;2,684;0,19%;9,01%;
12/03/2010;312161;0;55,61;13,12;3,034;0,13%;10,12%;
12/03/2010;921247,88;0;42,26;5,7;2,704;0,13%;9,52%;
12/03/2010;1150344,39;0;45,98;7,77;2,818;0,14%;9,26%;
12/03/2010;441434,2;0;61,96;16,64;2,619;0,21%;8,55%;
12/03/2010;513015,35;0;61,96;16,64;2,667;0,21%;8,55%;
12/03/2010;342023,92;0;50,11;10,06;2,925;0,13%;13,98%;
12/03/2010;1244391,83;0;61,88;16,6;2,667;0,21%;8,55%;
12/03/2010;899352,4;0;35,1;1,72;2,805;0,13%;5,89%;
12/03/2010;1023997,71;0;33,4;0,78;2,684;0,19%;7,54%;
12/03/2010;588363,62;0;52,33;11,29;3,034;0,13%;9,77%;
12/03/2010;645386,94;0;53,67;12,04;2,667;0,20%;9,52%;
12/03/2010;272190,83;0;37,62;3,12;2,733;0,13%;8,12%;
12/03/2010;765687,42;0;45,8;7,67;2,818;0,18%;8,99%;
19/03/2010;1472515,79;0;54,58;12,54;2,72;0,21%;8,11%;
19/03/2010;1946070,88;0;54,52;12,51;2,72;0,21%;8,32%;
19/03/2010;375328,59;0;60,42;15,79;2,72;0,21%;7,37%;
19/03/2010;1897429,36;0;55,19;12,88;2,743;0,13%;8,62%;
19/03/2010;281706,41;0;55,46;13,03;2,72;0,21%;6,57%;
19/03/2010;1693058,91;0;56,55;13,64;2,72;0,21%;7,26%;
19/03/2010;574450,23;0;29,04;-1,64;2,692;0,21%;9,01%;
19/03/2010;839911;0;47,26;8,48;2,72;0,21%;6,30%;
19/03/2010;485744,61;0;53,15;11,75;2,72;0,21%;6,42%;
19/03/2010;1946875,06;0;61,46;16,37;3,054;0,13%;9,77%;
19/03/2010;1364207;0;61,51;16,39;2,72;0,21%;7,37%;
19/03/2010;972088,34;0;59,57;15,32;3,054;0,13%;13,98%;
19/03/2010;1879794,89;0;42,49;5,83;2,782;0,13%;8,32%;
19/03/2010;2066219,3;0;48,79;9,33;2,844;0,18%;8,99%;
19/03/2010;593710,67;0;44,69;7,05;2,96;0,13%;8,35%;
19/03/2010;504307,35;0;33,45;0,81;2,692;0,21%;7,04%;
19/03/2010;752034,52;0;33,96;1,09;2,782;0,13%;6,55%;
19/03/2010;1087507,47;0;45,42;7,46;2,834;0,13%;9,20%;
19/03/2010;1332940,35;0;43,74;6,52;2,96;0,13%;8,35%;
19/03/2010;1951848,43;0;47,32;8,51;2,844;0,20%;8,19%;
19/03/2010;727070;0;54,68;12,6;2,72;0,21%;8,32%;
19/03/2010;966145,09;0;46,03;7,79;2,834;0,14%;8,28%;
19/03/2010;1229008,32;0;43,01;6,12;2,834;0,13%;5,89%;
19/03/2010;1222511,29;0;46,09;7,83;2,96;0,13%;8,33%;
19/03/2010;659795,84;0;45;7,22;2,844;0,20%;8,19%;
19/03/2010;903366,55;0;35,34;1,86;2,834;0,13%;8,49%;
19/03/2010;1700627,97;0;49,04;9,47;2,96;0,14%;8,24%;
19/03/2010;1279819,43;0;59,57;15,32;3,054;0,13%;13,98%;
19/03/2010;496851,6;0;46,03;7,79;2,834;0,13%;10,06%;
19/03/2010;445736,36;0;54,68;12,6;2,72;0,21%;8,32%;
19/03/2010;1332261,01;0;54,68;12,6;2,72;0,21%;8,32%;
19/03/2010;1059781,78;0;42,43;5,79;2,692;0,21%;9,01%;
19/03/2010;282235,73;0;64,6;18,11;3,054;0,13%;10,12%;
19/03/2010;892070,82;0;45,86;7,7;2,743;0,13%;9,52%;
19/03/2010;1117536,09;0;49,04;9,47;2,844;0,14%;9,26%;
19/03/2010;428851,99;0;59,56;15,31;2,701;0,21%;8,55%;
19/03/2010;460020,74;0;59,56;15,31;2,72;0,21%;8,55%;
19/03/2010;333025,47;0;59,57;15,32;3,054;0,13%;13,98%;
19/03/2010;1301590,13;0;58,62;14,79;2,72;0,21%;8,55%;
19/03/2010;894865,3;0;40,54;4,74;2,834;0,13%;5,89%;
19/03/2010;1006597,69;0;36,7;2,61;2,692;0,21%;7,54%;
19/03/2010;519914,1;0;61,46;16,37;3,054;0,13%;9,77%;
19/03/2010;668098,49;0;56;13,33;2,72;0,21%;9,52%;
19/03/2010;269624,2;0;42,49;5,83;2,782;0,13%;8,12%;
19/03/2010;773819,49;0;48,79;9,33;2,844;0,18%;8,99%;
26/03/2010;1404429,92;0;51,45;10,81;2,732;0,21%;8,11%;
26/03/2010;1750197,81;0;51,26;10,7;2,732;0,21%;8,32%;
26/03/2010;359949,27;0;57,06;13,92;2,732;0,21%;7,37%;
26/03/2010;1762539,3;0;39,91;4,39;2,752;0,13%;8,62%;
26/03/2010;273282,97;0;52,47;11,37;2,732;0,21%;6,57%;
26/03/2010;1472033,38;0;53,74;12,08;2,732;0,21%;7,26%;
26/03/2010;514731,6;0;23,33;-4,82;2,717;0,19%;9,01%;
26/03/2010;772539,12;0;46,51;8,06;2,732;0,21%;6,30%;
26/03/2010;484946,56;0;51,8;11;2,732;0,21%;6,42%;
26/03/2010;1893532,46;0;60,05;15,58;2,98;0,13%;9,77%;
26/03/2010;1245624,27;0;58,09;14,49;2,732;0,21%;7,37%;
26/03/2010;981615,81;0;60,06;15,59;3,083;0,13%;13,98%;
26/03/2010;1882095,98;0;41,48;5,27;2,819;0,13%;8,32%;
26/03/2010;2050396,27;0;54,36;12,42;2,854;0,18%;8,99%;
26/03/2010;592111,49;0;39,53;4,18;2,963;0,13%;8,35%;
26/03/2010;483177,2;0;29,88;-1,18;2,717;0,19%;7,04%;
26/03/2010;793097,64;0;35,59;1,99;2,819;0,13%;6,55%;
26/03/2010;1092704,09;0;47,55;8,64;2,831;0,13%;9,20%;
26/03/2010;1427023,45;0;39,07;3,93;2,963;0,13%;8,35%;
26/03/2010;1894742,95;0;50,49;10,27;2,854;0,21%;8,19%;
26/03/2010;686497,53;0;51,66;10,92;2,732;0,21%;8,32%;
26/03/2010;1012075,12;0;48,56;9,2;2,831;0,14%;8,28%;
26/03/2010;1310701,8;0;38,59;3,66;2,831;0,13%;5,89%;
26/03/2010;1258311,56;0;48,87;9,37;2,963;0,13%;8,33%;
26/03/2010;696687,6;0;45,84;7,69;2,854;0,21%;8,19%;
26/03/2010;893613;0;35,26;1,81;2,831;0,13%;8,49%;
26/03/2010;1836714,84;0;52,34;11,3;2,963;0,14%;8,24%;
26/03/2010;1245268,77;0;60,06;15,59;3,083;0,13%;13,98%;
26/03/2010;552985,34;0;48,56;9,2;2,831;0,13%;10,06%;
26/03/2010;442457,35;0;51,66;10,92;2,732;0,21%;8,32%;
26/03/2010;1229635,7;0;51,66;10,92;2,732;0,21%;8,32%;
26/03/2010;1076021,58;0;36,59;2,55;2,717;0,19%;9,01%;
26/03/2010;262893,76;0;64,09;17,83;2,98;0,13%;10,12%;
26/03/2010;880742,35;0;42,91;6,06;2,752;0,13%;9,52%;
26/03/2010;1078900,44;0;52,34;11,3;2,854;0,14%;9,26%;
26/03/2010;404438,51;0;55,76;13,2;2,711;0,21%;8,55%;
26/03/2010;515777,97;0;55,76;13,2;2,732;0,21%;8,55%;
26/03/2010;335858,11;0;60,06;15,59;3,083;0,13%;13,98%;
26/03/2010;1235094,66;0;54,83;12,68;2,732;0,21%;8,55%;
26/03/2010;873354,58;0;39,51;4,17;2,831;0,13%;5,89%;
26/03/2010;1015196,46;0;32,3;0,17;2,717;0,19%;7,54%;
26/03/2010;478021,68;0;60,05;15,58;2,98;0,13%;9,77%;
26/03/2010;623097,93;0;54,53;12,52;2,732;0,20%;9,52%;
26/03/2010;276279,49;0;41,48;5,27;2,819;0,13%;8,12%;
26/03/2010;782563,38;0;54,36;12,42;2,854;0,18%;8,99%;
02/04/2010;1594968,28;0;62,27;16,82;2,719;0,21%;7,81%;
02/04/2010;2066187,72;0;63,27;17,37;2,719;0,21%;8,35%;
02/04/2010;423294,4;0;65,56;18,64;2,719;0,21%;7,34%;
02/04/2010;1979247,12;0;48,77;9,32;2,74;0,13%;7,90%;
02/04/2010;331406;0;63,18;17,32;2,719;0,21%;6,47%;
02/04/2010;1770333,9;0;64,94;18,3;2,719;0,21%;7,09%;
02/04/2010;561145,14;0;38,26;3,48;2,725;0,19%;8,96%;
02/04/2010;914500,91;0;60,18;15,66;2,719;0,21%;8,35%;
